       t(ticks) ;         id_viat ;          destin ;      t_estacion ;          t_vida ;          observ
            461 ;              59 ;               O ;              90 ;              90 ;           saida
            461 ;              72 ;               O ;              60 ;               0 ;         entrada
            461 ;              73 ;               O ;              30 ;               0 ;         entrada
            461 ;              74 ;               O ;              80 ;               0 ;         entrada
            471 ;              60 ;               O ;             100 ;             100 ;           saida
            481 ;              67 ;               S ;              40 ;              40 ;           saida
            481 ;              75 ;               S ;              40 ;               0 ;         entrada
            491 ;              68 ;               N ;              50 ;              50 ;           saida
            491 ;              70 ;               E ;              50 ;              50 ;           saida
            491 ;              73 ;               O ;              30 ;              30 ;           saida
            491 ;              76 ;               N ;              70 ;               0 ;         entrada
            501 ;              66 ;               S ;              80 ;              80 ;           saida
            501 ;              69 ;               O ;              60 ;              60 ;           saida
            511 ;              78 ;               O ;              80 ;               0 ;         entrada
            511 ;              77 ;               S ;              90 ;               0 ;         entrada
            511 ;              79 ;               N ;              40 ;               0 ;         entrada
            521 ;              72 ;               O ;              60 ;              60 ;           saida
            521 ;              75 ;               S ;              40 ;              40 ;           saida
            521 ;              80 ;               N ;              30 ;               0 ;         entrada
            531 ;              81 ;               O ;              60 ;               0 ;         entrada
            531 ;              82 ;               N ;              90 ;               0 ;         entrada
            541 ;              71 ;               S ;              90 ;              90 ;           saida
            541 ;              74 ;               O ;              80 ;              80 ;           saida
            541 ;              83 ;               S ;             100 ;               0 ;         entrada
            541 ;              84 ;               N ;              70 ;               0 ;         entrada
            541 ;              85 ;               E ;              10 ;               0 ;         entrada
            541 ;              86 ;               N ;              80 ;               0 ;         entrada
            541 ;              87 ;               E ;              30 ;               0 ;         entrada
            541 ;              89 ;               N ;              90 ;               0 ;         entrada
            541 ;              88 ;               N ;              40 ;               0 ;         entrada
            541 ;              90 ;               E ;              10 ;               0 ;         entrada
            541 ;              91 ;               S ;              90 ;               0 ;         entrada
            541 ;              92 ;               E ;              60 ;               0 ;         entrada
            551 ;              80 ;               N ;              30 ;              30 ;           saida
            551 ;              79 ;               N ;              40 ;              40 ;           saida
            551 ;              85 ;               E ;              10 ;              10 ;           saida
            551 ;              90 ;               E ;              10 ;              10 ;           saida
            561 ;              76 ;               N ;              70 ;              70 ;           saida
            561 ;              94 ;               E ;              70 ;               0 ;         entrada
            561 ;              93 ;               N ;              50 ;               0 ;         entrada
            561 ;              95 ;               S ;              50 ;               0 ;         entrada
            571 ;              87 ;               E ;              30 ;              30 ;           saida
            571 ;              97 ;               N ;              40 ;               0 ;         entrada
