       t(ticks) ;            nlug ;         id_viat ;          destin ;               observ
            420 ;              16 ;              98 ;               E ;       estacionamento
            420 ;              15 ;              96 ;               O ;                saida
            430 ;              14 ;              78 ;               O ;                saida
            430 ;              13 ;              81 ;               O ;                saida
            430 ;              14 ;              99 ;               S ;       estacionamento
            440 ;              13 ;              77 ;               S ;                saida
            440 ;              12 ;              92 ;               E ;                saida
            440 ;              13 ;             100 ;               E ;       estacionamento
            440 ;              14 ;             101 ;               E ;       estacionamento
            450 ;              13 ;              84 ;               N ;                saida
            450 ;              12 ;              93 ;               N ;                saida
            450 ;              11 ;              95 ;               S ;                saida
            450 ;              10 ;              97 ;               N ;                saida
            450 ;              11 ;             102 ;               S ;       estacionamento
            450 ;              12 ;             103 ;               E ;       estacionamento
            450 ;              13 ;             104 ;               E ;       estacionamento
            450 ;              14 ;             105 ;               E ;       estacionamento
            450 ;              15 ;             106 ;               O ;       estacionamento
            450 ;              16 ;             108 ;               O ;       estacionamento
            450 ;              17 ;             107 ;               S ;       estacionamento
            460 ;              16 ;              82 ;               N ;                saida
            460 ;              15 ;              86 ;               N ;                saida
            460 ;              14 ;             105 ;               E ;                saida
            460 ;              15 ;             109 ;               S ;       estacionamento
            470 ;              14 ;              89 ;               N ;                saida
            470 ;              13 ;              91 ;               S ;                saida
            470 ;              12 ;              94 ;               E ;                saida
            480 ;              11 ;              83 ;               S ;                saida
            480 ;              10 ;             107 ;               S ;                saida
            480 ;              11 ;             110 ;               O ;       estacionamento
            490 ;              10 ;             101 ;               E ;                saida
            490 ;              11 ;             111 ;               N ;       estacionamento
            500 ;              10 ;              98 ;               E ;                saida
            500 ;               9 ;             104 ;               E ;                saida
            500 ;             500 ;               ? ;               N ;            encerrado
            500 ;             500 ;               ? ;               S ;            encerrado
            500 ;             500 ;               ? ;               O ;            encerrado
            500 ;             500 ;               ? ;               E ;            encerrado
     1719589851 ;               ? ;               ? ;               ? ;                fecho
            500 ;              10 ;             112 ;               E ;       estacionamento
            510 ;               9 ;             100 ;               E ;                saida
            520 ;               8 ;             103 ;               E ;                saida
            530 ;               7 ;              99 ;               S ;                saida
            530 ;               6 ;             106 ;               O ;                saida
            530 ;               5 ;             108 ;               O ;                saida
            530 ;               4 ;             109 ;               S ;                saida
            540 ;               3 ;             110 ;               O ;                saida
            550 ;               2 ;             102 ;               S ;                saida
            560 ;               1 ;             111 ;               N ;                saida
            590 ;               0 ;             112 ;               E ;                saida
